junction_detail,1st_road_class,age_of_vehicle,age_of_driver,day_of_week,speed_limit,engine_capacity_(cc),vehicle_type,urban_or_rural_area,road_surface_conditions,time_range,accident_severity
3,3,3,30,4,30,998,5,1,1,13,2
6,3,8,40,4,30,1587,1,1,1,18,2
6,3,8,29,6,30,1587,1,1,1,4,2
3,3,7,37,3,30,599,5,1,1,8,2
3,3,8,30,3,30,1587,9,1,1,8,2
3,3,8,19,1,30,1587,1,1,1,7,2
1,3,8,12,3,30,1587,1,1,1,8,2
3,3,8,35,4,30,1587,5,1,1,14,2
3,3,7,48,7,30,1598,8,1,1,17,2
9,3,6,53,2,30,798,5,1,2,8,2
3,4,8,35,5,30,1587,1,1,1,13,2
3,3,9,40,1,30,998,3,1,1,3,2
6,3,8,37,3,30,1587,1,1,1,8,2
3,5,7,45,6,30,124,3,1,1,9,2
0,3,8,50,4,30,1587,1,1,1,9,2
3,4,8,37,5,30,1587,9,1,1,6,2
3,3,3,58,5,20,6700,11,1,1,16,2
3,3,8,36,3,30,1587,1,1,1,19,2
3,6,9,16,5,30,124,3,1,1,18,2
6,3,8,29,6,30,1587,1,1,1,22,2
8,3,8,23,5,30,1587,1,1,1,17,2
3,3,4,27,6,30,124,3,1,1,8,2
3,3,4,27,6,30,124,3,1,1,8,2
3,3,8,49,3,30,1587,1,1,1,15,2
3,6,8,15,4,30,1587,1,1,1,15,2
3,3,10,27,1,30,998,5,1,2,16,2
3,3,7,27,1,30,1000,5,1,2,16,2
6,3,8,70,6,30,1587,90,1,1,12,2
3,3,8,27,2,30,1587,1,1,1,8,2
3,3,8,25,3,30,645,5,1,1,14,2
6,3,8,55,5,30,1587,19,1,1,11,2
3,3,8,23,6,30,1587,1,1,2,8,2
3,3,8,23,6,30,1587,1,1,2,8,2
6,3,12,44,2,30,8268,11,1,1,15,2
6,3,8,31,5,30,1587,1,1,1,7,2
6,3,8,28,2,30,1587,11,1,1,9,2
6,3,8,28,2,30,1587,11,1,1,9,2
6,3,8,20,2,30,1587,1,1,1,9,2
0,6,5,54,5,30,1598,9,1,1,8,2
8,6,8,61,7,30,1587,1,1,1,1,2
3,3,7,23,3,20,49,2,1,1,8,2
0,3,2,28,4,30,2198,19,1,2,19,2
0,6,3,35,5,20,1229,9,1,1,15,2
3,3,4,55,2,30,748,5,1,1,19,2
3,3,3,38,2,30,124,3,1,2,8,2
3,3,5,25,7,30,125,3,1,1,0,2
3,3,8,22,7,30,1587,3,1,1,0,2
3,3,21,37,4,30,583,5,1,1,11,2
0,3,12,44,6,30,996,5,1,1,8,2
0,3,12,44,6,30,996,5,1,1,8,2
3,3,8,52,2,30,1587,1,1,1,9,2
3,3,8,34,4,30,1587,3,1,2,6,2
6,3,8,55,5,30,1587,1,1,2,7,2
3,3,8,49,7,30,1587,9,1,2,6,2
3,3,8,34,7,30,1587,9,1,2,6,2
3,3,8,34,7,30,1587,9,1,2,6,2
0,5,3,37,4,30,1242,9,1,1,16,2
3,3,1,42,5,30,4500,11,1,1,8,2
3,3,8,38,3,30,1587,1,1,1,7,2
3,3,8,36,2,30,1587,1,1,1,19,2
3,3,11,52,2,30,124,3,1,2,14,2
3,6,9,50,2,30,1995,8,1,2,3,2
3,6,8,34,2,30,1587,1,1,1,23,2
3,3,1,21,6,30,2967,9,1,1,21,2
3,3,6,54,4,30,6700,11,1,1,18,2
3,6,8,43,5,30,1587,1,1,1,8,2
3,3,10,25,5,30,599,2,1,1,17,2
6,3,8,37,6,30,1587,2,1,1,20,2
3,3,2,39,4,30,1229,9,1,1,8,2
0,3,1,51,2,30,4500,11,1,1,13,2
3,3,11,87,6,30,1598,9,1,1,12,2
3,3,4,25,6,30,1598,9,1,1,12,2
3,6,8,37,3,30,1587,4,1,1,19,2
3,6,8,37,7,30,1587,9,1,1,13,2
0,3,8,37,3,30,1587,2,1,1,8,2
3,4,9,44,7,30,5880,20,1,1,7,2
3,3,8,23,3,30,1587,5,1,1,17,2
8,6,8,22,6,30,1587,1,1,1,11,2
3,4,8,45,4,30,1587,1,1,1,0,2
3,3,8,52,6,30,1686,19,1,1,15,2
3,3,11,21,6,30,125,3,1,1,19,2
6,6,8,34,1,30,1587,1,1,1,12,2
6,6,8,34,1,30,1587,1,1,1,12,2
3,3,15,79,4,30,1686,9,1,2,11,2
3,3,15,79,4,30,1686,9,1,2,11,2
3,3,15,79,4,30,1686,9,1,2,11,2
3,3,8,27,2,30,1587,5,1,2,8,2
1,3,8,30,5,30,1587,9,1,1,22,2
1,3,8,30,5,30,1587,9,1,1,22,2
0,3,12,48,5,30,7300,11,1,1,10,2
3,3,10,86,2,30,1590,9,1,1,8,2
3,3,10,86,2,30,1590,9,1,1,8,2
0,6,8,37,7,30,1587,1,1,1,7,2
6,3,14,54,1,30,1360,9,1,1,16,2
6,3,1,20,1,30,124,3,1,1,16,2
3,4,8,39,2,30,1587,3,1,2,16,2
0,6,8,37,3,30,1587,9,1,1,23,2
0,3,8,45,3,30,1587,1,1,1,7,2
0,3,8,50,6,30,1587,11,1,1,13,2
0,3,8,50,6,30,1587,11,1,1,13,2
0,3,8,50,6,30,1587,11,1,1,13,2
6,4,7,34,7,30,125,3,1,2,17,2
3,3,8,25,2,30,109,3,1,1,23,2
0,6,8,18,1,30,1587,3,1,1,17,2
0,6,8,18,1,30,1587,3,1,1,17,2
0,6,8,38,1,30,1587,9,1,1,17,2
0,6,8,38,1,30,1587,9,1,1,17,2
0,6,8,54,2,30,1587,1,1,1,7,2
3,5,8,32,4,30,1587,1,1,1,15,2
0,3,14,66,1,30,1996,9,1,1,23,2
0,3,9,38,1,30,1900,9,1,1,23,2
0,3,10,38,1,30,1586,9,1,1,23,2
3,3,8,27,1,30,1587,1,1,1,19,2
8,3,8,51,2,30,1587,5,1,2,16,2
0,6,8,48,2,30,2287,19,1,2,6,2
0,6,6,46,7,30,124,3,1,1,11,2
0,3,9,41,5,30,9000,11,1,1,14,2
0,6,8,37,6,30,1587,9,1,1,10,2
0,3,8,16,4,30,1587,1,1,1,11,2
0,6,8,37,6,30,1587,1,1,2,21,2
3,3,22,84,1,30,1299,9,1,2,8,2
3,3,11,37,3,30,1390,9,1,1,10,2
0,3,8,76,2,30,1364,9,1,2,11,2
8,3,2,22,5,30,471,4,1,2,17,2
3,6,2,20,1,30,1796,9,1,4,4,2
3,6,2,20,1,30,1796,9,1,4,4,2
3,6,2,20,1,30,1796,9,1,4,4,2
0,3,12,25,2,30,1468,9,1,2,0,2
6,3,8,26,3,30,1587,9,1,2,14,2
6,3,8,70,7,30,1587,9,2,2,14,2
6,3,8,70,7,30,1587,9,2,2,14,2
6,3,4,38,7,30,1995,9,2,2,14,2
6,3,4,38,7,30,1995,9,2,2,14,2
0,4,9,26,6,30,1198,9,1,1,22,2
0,4,9,26,6,30,1198,9,1,1,22,2
0,4,8,19,6,30,1587,9,1,1,22,2
6,3,5,21,3,30,124,3,1,1,19,2
3,3,8,28,7,30,1587,1,1,1,10,2
0,3,8,37,2,30,1587,9,1,1,19,2
3,5,8,46,4,30,1587,9,1,1,15,2
3,3,1,25,5,30,1000,3,1,1,11,2
3,3,9,22,5,30,1598,9,1,1,11,2
0,6,13,69,6,30,1898,9,1,1,17,2
3,4,8,37,1,30,1587,9,1,1,2,2
2,5,4,24,2,30,1242,9,1,1,7,2
0,5,8,37,1,30,1587,9,1,2,14,2
0,3,8,37,5,30,1587,11,1,1,9,2
0,6,10,32,1,30,449,5,1,1,20,2
3,5,15,31,3,30,600,5,1,1,18,2
0,5,14,18,3,30,124,2,1,1,16,2
0,5,8,22,3,30,1587,2,1,1,16,2
3,5,8,22,5,30,1587,3,1,2,16,2
3,5,8,22,5,30,1587,3,1,2,16,2
3,3,8,23,6,30,1587,5,1,2,6,2
3,6,8,14,6,30,1587,1,1,1,18,2
0,6,8,5,4,30,1587,1,1,2,17,2
1,6,8,53,4,30,1587,1,2,1,18,2
6,3,8,35,4,30,1587,1,1,1,18,2
3,3,8,55,4,30,1587,11,1,1,16,2
3,3,12,52,4,30,1753,19,1,1,14,2
3,3,10,50,4,30,2720,9,1,1,14,2
0,3,2,33,1,30,125,3,1,1,17,2
3,5,11,62,7,30,1998,9,1,1,15,2
3,5,11,62,7,30,1998,9,1,1,15,2
3,5,13,42,7,30,1587,9,1,1,15,2
0,4,8,32,1,30,1968,9,1,2,16,2
0,4,8,32,1,30,1968,9,1,2,16,2
0,4,8,32,1,30,1968,9,1,2,16,2
0,4,1,47,1,30,1956,9,1,2,16,2
6,6,7,16,6,30,124,3,1,1,14,2
3,4,8,76,5,30,1587,1,1,1,14,2
0,3,17,17,7,30,1085,3,1,1,18,2
3,3,8,26,3,30,1587,20,1,1,8,2
3,3,33,48,6,30,123,3,2,1,15,2
0,3,13,85,1,30,1796,9,1,1,10,2
3,6,12,20,5,30,1149,9,1,1,12,2
3,3,8,26,4,30,2143,19,1,1,10,2
3,6,6,24,7,30,1910,9,1,1,11,2
3,3,8,37,1,30,1587,19,1,1,19,2
0,6,8,55,7,30,1587,1,1,1,12,2
0,3,8,37,2,30,1587,9,1,1,20,2
3,3,7,41,7,30,1753,9,1,1,12,2
3,3,8,42,1,30,1587,1,1,1,17,2
3,4,8,34,3,30,1587,9,2,1,7,2
6,6,8,62,3,30,1587,9,1,1,18,2
6,6,8,36,3,30,1587,9,1,1,18,2
3,3,8,36,1,30,1587,1,1,1,12,2
2,3,8,37,4,30,1587,9,1,1,8,2
3,3,1,18,7,30,108,5,1,1,8,2
3,6,12,54,4,30,1399,9,1,1,18,2
3,5,8,48,4,30,1587,1,1,1,7,2
3,6,8,32,3,30,1587,1,1,1,17,2
3,6,9,27,3,30,1124,9,1,2,15,2
0,3,9,37,7,40,2198,19,2,1,12,2
3,5,8,37,6,30,1587,9,1,1,7,2
3,6,8,55,5,30,1587,1,1,1,12,2
3,5,5,37,6,40,1997,9,1,1,12,2
2,5,8,51,7,30,1587,1,2,1,10,2
3,6,7,22,1,30,1598,9,1,1,16,2
3,3,11,81,5,30,1794,9,1,1,9,2
0,6,10,48,6,30,1587,9,1,1,14,2
0,6,5,19,6,30,1596,9,1,1,14,2
0,4,2,87,4,30,998,9,1,1,12,2
0,3,8,40,1,30,1587,9,1,1,5,2
0,6,8,40,4,30,1587,9,1,2,8,2
3,3,12,30,2,30,2499,9,1,1,8,2
3,3,12,30,2,30,2499,9,1,1,8,2
0,3,6,33,3,30,1968,9,1,1,9,2
3,4,12,25,7,30,1998,9,1,2,16,2
3,4,8,47,7,30,1587,9,1,2,16,2
3,3,8,37,3,30,1587,10,1,1,5,2
3,3,8,37,3,30,1587,10,1,1,5,2
3,3,8,37,3,30,1587,10,1,1,5,2
3,3,8,37,3,30,1587,10,1,1,5,2
3,3,8,37,3,30,1587,10,1,1,5,2
3,3,8,37,3,30,1587,10,1,1,5,2
3,3,8,37,3,30,1587,10,1,1,5,2
3,5,11,80,4,30,1389,9,1,2,12,2
9,5,16,32,4,30,125,4,1,1,10,2
1,5,8,31,2,30,1587,1,1,1,7,2
3,6,3,17,6,30,49,2,1,1,18,2
0,3,11,52,1,30,2953,9,1,1,5,2
0,3,8,54,1,30,1587,9,1,1,5,2
3,6,3,49,5,30,2198,19,1,1,7,2
0,3,11,54,2,30,1794,9,1,1,8,2
0,6,8,37,2,30,1587,20,1,1,11,2
0,5,8,46,2,30,1587,1,1,1,4,2
0,6,8,12,4,30,1587,1,1,1,17,2
9,5,9,37,7,30,1598,9,1,1,1,2
9,5,9,37,7,30,1598,9,1,1,1,2
9,5,9,37,7,30,1598,9,1,1,1,2
9,5,8,31,7,30,1587,9,1,1,1,2
9,5,8,31,7,30,1587,9,1,1,1,2
5,3,8,37,1,30,1587,9,1,2,20,2
0,3,8,29,3,30,998,5,1,1,13,2
3,3,17,37,6,30,1896,9,1,1,14,2
0,3,7,32,3,30,999,5,1,1,14,2
0,3,4,37,5,30,2987,9,1,1,18,2
9,6,5,41,2,30,1998,9,1,2,12,2
0,5,14,50,7,30,1895,9,1,1,15,2
0,5,11,37,7,30,7300,11,1,1,15,2
0,5,11,37,7,30,7300,11,1,1,15,2
0,5,13,40,7,30,1590,9,1,1,9,2
3,5,5,38,6,30,599,5,1,1,20,2
3,5,5,38,6,30,599,5,1,1,20,2
3,6,19,49,2,30,1896,9,1,2,16,2
3,6,3,85,2,30,1390,9,1,2,16,2
0,6,8,30,6,30,1587,9,1,1,6,2
9,5,7,46,2,30,2969,9,1,1,18,2
8,5,2,19,6,30,124,3,1,1,17,2
3,6,3,43,4,30,1591,9,1,1,8,2
3,6,3,43,4,30,1591,9,1,1,8,2
3,5,8,27,2,30,1587,9,1,2,1,2
3,5,10,21,2,30,125,3,1,2,1,2
2,6,17,30,4,30,1299,9,1,1,8,2
3,3,17,22,3,30,599,5,1,1,7,2
6,5,9,36,6,30,750,3,1,1,12,2
3,3,7,34,1,30,1248,9,1,2,14,2
3,5,15,37,2,30,2494,9,1,1,16,2
1,3,3,60,1,30,2231,9,1,2,19,2
3,3,8,61,5,30,2143,9,1,2,16,2
3,3,9,23,6,30,125,2,1,2,18,2
6,5,8,36,7,30,1587,11,1,2,10,2
6,3,8,26,5,30,1587,1,1,4,7,2
3,3,7,37,2,30,998,9,1,2,20,2
3,3,2,31,1,30,471,4,1,1,18,2
3,3,8,31,4,30,1587,21,1,1,7,2
3,3,8,30,4,30,1587,9,1,1,18,2
3,3,8,37,2,30,1587,3,1,1,17,2
3,3,2,37,3,30,4461,11,1,1,15,2
6,3,12,27,5,30,7300,11,1,1,15,2
0,3,1,27,3,30,125,2,1,1,0,2
3,3,8,46,1,30,1587,11,1,1,12,2
0,3,5,21,5,40,125,3,1,1,11,2
9,3,8,29,6,30,1968,9,1,1,15,2
3,3,9,24,1,30,599,2,1,1,23,2
8,3,12,27,5,30,125,3,1,1,6,2
5,3,2,24,3,50,125,3,1,1,19,2
3,3,8,44,4,30,1587,3,1,1,17,2
3,3,8,44,4,30,1587,3,1,1,17,2
3,3,11,37,6,30,1299,9,1,1,8,2
3,3,5,59,7,30,4500,11,1,1,17,2
3,3,2,30,6,30,108,3,1,1,7,2
3,3,8,39,5,30,1587,1,1,2,22,2
5,3,8,24,4,30,1587,1,1,1,7,2
3,3,3,41,7,30,999,2,1,2,23,2
6,6,1,37,5,30,1997,9,1,1,17,2
3,3,11,34,5,30,599,4,1,1,20,2
3,3,5,37,2,30,9360,11,1,2,8,2
0,5,8,37,6,30,1587,3,1,1,23,2
8,3,8,42,3,30,1587,1,1,1,7,2
3,3,8,36,3,40,998,4,1,1,6,2
0,3,10,27,4,30,1686,9,1,2,22,2
3,3,8,36,7,30,1587,1,1,1,20,2
0,3,6,34,6,40,599,5,1,1,23,2
0,3,6,34,6,40,599,5,1,1,23,2
3,3,5,17,6,30,124,3,1,1,20,2
0,5,8,50,2,30,2198,19,1,1,7,2
0,3,2,46,1,40,1386,9,1,1,17,2
0,3,7,59,2,30,2987,9,1,1,13,2
0,5,11,26,3,30,1390,9,1,2,3,2
3,3,8,62,7,30,1587,9,1,1,15,2
3,6,8,20,2,20,1587,1,1,2,19,2
0,6,1,26,7,30,2143,19,1,1,7,2
9,5,5,22,4,30,125,4,1,1,12,2
6,3,3,40,5,30,670,5,1,1,19,2
6,3,3,40,5,30,670,5,1,1,19,2
3,3,8,43,5,30,108,3,1,1,12,2
3,3,11,26,1,30,1896,9,1,1,22,2
0,3,2,26,7,30,1598,9,1,1,16,2
3,3,8,43,5,30,2198,19,1,2,10,2
3,6,17,52,1,30,599,5,1,1,14,2
3,3,10,42,4,30,124,4,1,1,9,2
0,3,3,32,4,30,1229,9,1,1,17,2
0,3,8,32,3,40,1587,9,1,1,6,2
0,6,17,47,7,30,1850,9,1,1,14,2
1,3,7,47,2,30,9000,11,1,1,14,2
6,5,8,36,4,30,1587,1,1,1,18,2
6,3,8,37,2,30,1587,9,1,1,9,2
8,3,8,17,5,30,124,3,1,1,10,2
3,3,8,31,7,30,1595,9,1,2,12,2
3,3,8,26,7,30,1587,9,1,2,12,2
0,5,6,41,7,30,1399,9,1,2,18,2
3,5,8,37,5,30,1587,9,1,1,11,2
3,6,8,70,3,30,1587,11,1,2,7,2
0,3,8,37,6,30,1587,19,1,2,17,2
0,5,8,37,2,30,1587,19,1,1,19,2
3,3,5,58,2,30,998,9,1,2,6,2
3,3,8,37,2,30,1587,1,1,2,6,2
3,3,11,19,6,30,124,3,1,2,0,2
3,4,8,18,7,30,125,3,1,1,15,2
3,3,6,30,4,30,124,3,1,1,5,2
6,4,12,24,4,30,125,3,1,2,0,2
6,4,12,24,4,30,125,3,1,2,0,2
3,6,16,52,5,30,1794,9,1,1,14,2
3,3,1,38,3,30,2143,19,1,1,10,2
3,6,8,37,6,30,1587,9,1,2,23,2
6,3,8,37,7,30,1587,9,1,1,17,2
3,3,8,29,5,30,1798,9,1,1,2,2
3,3,14,36,5,30,2148,9,1,1,7,2
3,4,9,28,2,30,1598,9,1,4,3,2
3,3,7,52,1,30,1998,9,1,1,10,2
3,3,8,51,1,30,1587,1,1,1,10,2
6,3,10,44,3,30,1498,9,1,1,17,2
3,3,7,50,2,30,999,9,1,1,9,2
6,3,8,47,1,30,1587,1,1,1,12,2
3,4,9,51,5,30,1598,9,1,1,8,2
1,3,23,34,5,30,124,5,1,1,19,2
3,4,2,85,6,30,1598,9,1,1,23,2
6,3,8,34,4,30,1587,1,1,1,18,2
0,6,12,26,6,30,1598,9,1,1,22,2
3,6,8,37,5,30,1587,9,1,1,19,2
6,3,8,13,1,30,1587,1,1,1,15,2
3,3,8,49,6,30,1587,1,1,1,7,2
3,3,8,49,6,30,1587,1,1,1,7,2
0,6,8,35,7,30,1587,1,1,1,10,2
0,6,8,35,7,30,1587,1,1,1,10,2
3,3,7,28,1,30,1598,9,1,1,13,2
8,3,7,53,5,30,399,3,1,1,7,2
1,3,22,22,3,30,499,5,1,1,3,2
1,3,11,24,4,30,124,2,1,1,19,2
0,3,12,60,6,30,498,4,1,1,7,2
0,3,6,48,6,30,656,3,1,1,18,2
3,5,8,90,1,30,1587,1,1,1,16,2
0,3,8,23,2,30,1587,3,1,1,16,2
3,5,11,23,4,30,124,3,1,1,13,2
3,3,16,37,7,30,1299,9,1,1,7,2
3,3,1,24,4,30,125,3,1,1,21,2
0,3,8,43,3,30,1587,2,1,1,20,2
3,6,8,37,7,30,1587,9,1,1,17,2
0,6,8,26,1,30,1587,1,1,1,19,2
3,3,13,59,1,30,1149,9,1,1,19,2
3,3,13,28,3,30,1970,9,1,1,18,2
3,3,8,37,6,30,1587,9,1,1,17,2
0,3,28,28,5,50,98,3,1,1,7,2
8,3,8,31,3,30,1984,9,1,2,18,2
6,3,13,55,3,30,1749,9,1,1,7,2
0,6,1,18,3,30,125,3,1,1,16,2
6,3,8,35,6,30,1587,3,1,1,16,2
2,3,3,21,2,30,1229,9,1,1,0,2
7,3,8,26,6,30,1587,20,1,1,8,2
0,5,8,37,6,30,1587,11,1,1,17,2
3,6,8,37,3,30,1587,1,1,1,18,2
0,3,11,20,2,30,1299,9,1,2,20,2
3,6,8,28,3,30,125,3,1,1,17,2
3,5,1,42,3,30,999,5,1,1,16,2
0,3,8,25,2,50,1587,5,1,1,6,2
3,5,1,30,5,30,1968,9,1,1,15,2
0,3,8,46,3,50,1587,5,1,1,9,2
0,5,8,42,3,30,1587,9,1,1,22,2
0,5,8,42,3,30,1587,9,1,1,22,2
0,3,1,20,2,30,124,3,1,1,7,2
0,5,6,46,4,30,1390,9,1,1,22,2
3,3,10,22,5,30,124,2,1,1,14,2
3,3,16,28,2,30,1587,9,1,1,23,2
3,6,6,26,3,30,1422,9,1,1,0,2
0,3,8,64,3,30,1587,9,1,1,12,2
1,3,3,28,3,30,675,3,1,1,16,2
3,4,8,33,4,30,1587,1,1,1,6,2
1,3,7,23,1,30,125,3,1,1,22,2
0,3,4,25,1,50,1229,9,1,1,11,2
0,3,4,36,1,50,1199,9,1,1,11,2
0,3,4,36,1,50,1199,9,1,1,11,2
3,5,6,17,1,30,110,2,1,1,17,2
3,5,3,54,5,30,1598,9,1,1,18,2
3,5,3,54,5,30,1598,9,1,1,18,2
0,6,22,58,3,30,599,5,1,1,16,2
0,5,8,39,7,30,1587,9,1,1,12,2
0,3,13,41,3,30,1398,9,1,1,14,2
3,5,8,31,7,30,1587,4,1,1,10,2
1,3,8,32,6,30,1587,1,1,1,6,2
0,5,8,38,4,30,1229,9,2,1,16,2
0,3,4,40,6,30,1598,9,1,1,8,2
0,3,4,40,6,30,1598,9,1,1,8,2
0,3,8,68,6,30,1598,9,1,1,8,2
0,3,1,35,3,50,745,5,1,1,6,2
3,5,9,48,5,30,998,9,1,2,16,2
3,3,5,25,2,30,125,3,1,2,7,2
3,6,2,30,6,30,109,3,1,1,21,2
3,5,9,37,6,30,1968,9,1,2,16,2
0,6,2,64,5,30,1956,9,2,1,13,2
6,6,8,26,5,30,1587,19,1,2,18,2
0,3,2,20,5,40,1598,9,1,2,4,2
0,3,2,20,5,40,1598,9,1,2,4,2
0,3,8,60,1,30,1587,1,1,1,13,2
3,3,8,42,5,30,2993,9,1,1,19,2
3,3,8,42,5,30,2993,9,1,1,19,2
3,3,1,56,5,30,2987,9,1,1,19,2
3,6,6,20,5,30,124,3,1,2,20,2
0,3,4,37,5,40,1198,3,1,1,9,2
6,4,10,31,3,30,1497,9,1,1,9,2
3,3,12,24,7,30,125,3,1,2,12,2
3,3,12,24,7,30,125,3,1,2,12,2
6,6,11,54,6,30,1997,9,1,2,18,2
3,3,4,51,1,30,999,5,1,1,10,2
5,3,4,48,4,70,125,3,2,1,8,2
0,4,7,47,2,30,1248,9,1,1,16,2
0,4,7,47,2,30,1248,9,1,1,16,2
0,3,4,22,2,40,124,3,1,1,12,2
3,3,19,44,1,30,1796,9,1,1,19,2
3,3,1,68,1,30,1329,9,1,1,19,2
5,3,1,45,4,30,330,4,1,1,7,2
0,3,7,26,5,40,599,5,1,1,15,2
5,3,5,38,5,30,2298,19,1,1,17,2
0,5,3,47,5,30,998,9,1,1,16,2
1,3,5,47,6,30,124,3,1,1,7,2
3,6,8,38,3,30,1587,9,1,1,8,2
2,6,5,28,7,30,1797,9,1,2,13,2
0,3,9,34,2,30,2198,9,1,1,22,2
0,3,9,34,2,30,2198,9,1,1,22,2
0,5,4,46,7,30,4500,11,1,1,13,2
6,3,1,22,2,30,124,3,1,1,16,2
6,3,8,23,7,40,1587,3,1,1,0,2
0,6,14,46,6,30,1998,9,1,1,19,2
6,3,10,20,7,30,124,3,1,1,14,2
3,6,8,43,5,30,1968,9,1,1,15,2
6,3,8,87,5,30,2149,9,1,1,16,2
6,3,8,87,5,30,2149,9,1,1,16,2
3,4,8,48,4,30,1587,1,1,1,15,2
0,6,4,37,4,30,1598,9,1,1,7,2
3,3,4,35,4,30,2967,9,1,1,17,2
3,3,8,37,4,30,1587,9,1,1,17,2
9,3,3,59,4,30,4500,11,1,1,18,2
0,3,1,24,2,30,1461,9,1,2,11,2
3,3,8,52,5,30,1587,1,1,1,8,2
1,3,21,27,7,40,1493,9,1,1,0,2
1,3,21,27,7,40,1493,9,1,1,0,2
3,3,8,41,3,30,1587,1,1,1,7,2
0,3,8,37,5,30,1587,9,1,2,21,2
0,1,8,69,5,70,1587,9,1,1,23,2
0,1,8,37,5,70,1968,9,1,1,23,2
0,1,8,37,5,70,1968,9,1,1,23,2
3,5,6,18,2,30,124,4,1,2,14,2
6,3,2,29,4,50,675,5,1,1,21,2
3,3,8,35,1,30,1587,1,1,1,13,2
3,3,9,22,1,30,1598,9,1,1,2,2
3,3,9,22,1,30,1598,9,1,1,2,2
0,5,10,27,2,30,2402,19,1,2,11,2
0,5,10,27,2,30,2402,19,1,2,11,2
9,3,8,43,5,30,1598,9,1,1,12,2
1,4,8,37,3,30,1587,20,1,1,17,2
3,6,8,36,6,30,2494,9,1,1,15,2
3,3,13,18,6,40,124,3,1,1,15,2
0,5,1,52,7,30,1968,9,1,1,19,2
3,3,6,21,5,30,124,3,1,1,20,2
0,3,7,30,6,30,1364,9,1,1,11,2
0,3,8,37,4,30,1587,11,1,1,17,2
3,6,8,15,1,30,1587,1,1,1,18,2
3,4,7,21,3,30,125,3,1,2,9,2
6,3,11,46,1,30,2148,9,1,2,17,2
6,3,11,46,1,30,2148,9,1,2,17,2
6,3,11,46,1,30,2148,9,1,2,17,2
3,4,3,40,2,30,1339,9,1,1,21,2
3,4,5,37,4,30,125,3,1,1,11,2
0,1,16,42,2,70,1796,9,1,1,10,2
0,1,16,42,2,70,1796,9,1,1,10,2
0,1,16,42,2,70,1796,9,1,1,10,2
0,1,16,42,2,70,1796,9,1,1,10,2
0,1,16,42,2,70,1796,9,1,1,10,2
0,1,2,42,2,70,1995,9,1,1,10,2
6,6,8,34,2,30,1197,9,1,1,21,2
3,5,16,37,6,30,999,9,1,1,17,2
6,5,8,17,5,30,1587,3,1,1,0,2
1,3,11,25,7,30,599,4,1,1,8,2
9,3,8,37,6,30,1587,9,1,1,23,2
0,6,8,27,2,30,1587,9,1,1,12,2
1,3,8,37,5,30,1587,19,1,2,15,2
3,4,7,40,3,30,2993,9,1,1,18,2
6,3,8,38,3,30,1386,9,1,1,5,2
6,3,8,37,7,30,1587,11,1,2,15,2
3,6,8,20,3,30,1587,2,1,2,12,2
6,5,8,21,1,30,125,3,1,1,5,2
6,5,8,21,1,30,125,3,1,1,5,2
6,3,8,67,4,30,1598,9,1,1,17,2
3,6,3,20,5,30,125,3,1,2,17,2
3,3,5,39,5,30,1997,9,1,1,14,2
3,3,5,39,5,30,1997,9,1,1,14,2
0,3,8,37,5,30,1587,9,1,1,16,2
6,3,2,31,4,30,125,3,1,1,22,2
3,3,8,20,2,50,125,3,1,1,7,2
0,6,6,36,6,30,1242,9,1,1,6,2
6,5,8,68,4,30,1587,1,1,1,22,2
3,6,8,39,2,30,1587,1,1,1,17,2
3,4,6,21,7,30,645,5,1,1,16,2
3,3,8,49,7,30,1587,1,1,1,18,2
0,6,8,21,7,20,1587,1,2,1,16,2
0,4,8,37,3,30,1587,1,2,2,19,2
0,4,8,37,3,30,1587,1,2,2,19,2
0,6,8,59,5,30,1587,1,1,1,18,2
0,3,8,43,6,30,1587,1,1,1,14,2
0,3,8,37,4,30,1587,1,1,1,6,2
0,3,8,55,1,30,1587,1,1,1,18,2
0,4,8,52,7,30,1587,1,1,1,10,2
3,3,3,55,3,30,1398,9,1,1,19,2
6,6,8,42,4,30,1587,1,2,1,21,2
0,3,8,38,7,30,1587,1,1,1,18,2
0,3,8,56,7,40,1587,5,1,1,18,2
3,3,8,25,7,30,1956,9,1,1,3,2
3,6,11,22,7,30,1149,9,1,1,16,2
6,3,8,51,6,30,1587,1,1,1,16,2
3,3,2,28,5,30,124,3,1,1,7,2
0,3,8,53,4,20,1587,1,1,1,13,2
0,3,8,53,4,20,1587,1,1,1,13,2
3,6,1,36,5,30,125,3,1,1,14,2
3,3,4,58,2,30,599,5,1,1,17,2
3,3,8,63,7,30,1587,1,1,1,19,2
1,3,1,22,3,30,124,3,1,2,10,2
1,3,8,37,4,30,1587,1,1,1,21,2
0,6,8,37,4,20,1587,1,1,2,17,2
0,6,8,35,5,20,1587,1,2,2,19,2
3,3,9,24,4,30,883,5,1,2,19,2
3,5,3,29,5,30,1968,9,1,2,16,2
6,3,1,43,7,30,2967,9,1,1,11,2
3,5,8,31,4,30,1587,21,1,1,15,2
3,5,8,31,4,30,1587,21,1,1,15,2
0,3,8,35,4,30,649,5,1,2,9,2
0,3,8,24,4,30,1587,1,1,2,9,2
0,4,9,21,3,30,9000,11,1,1,21,2
1,3,3,41,2,40,125,5,1,2,11,2
0,3,8,77,6,30,1587,9,1,1,16,2
1,3,8,61,3,30,1587,1,1,1,9,2
