junction_detail,1st_road_class,age_of_vehicle,age_of_driver,day_of_week,time_range,speed_limit,engine_capacity_(cc),junction_detail,vehicle_type,urban_or_rural_area,road_surface_conditions,accident_severity
3,3,4,27,6,8-9,30,124,3,3,1,1,2
3,3,8,49,3,15-16,30,1587,3,1,1,1,2
3,6,8,15,4,15-16,30,1587,3,1,1,1,2
3,3,10,27,1,16-17,30,998,3,5,1,2,2
3,3,7,27,1,16-17,30,1000,3,5,1,2,2
6,3,8,70,6,12-13,30,1587,6,90,1,1,2
3,3,8,27,2,8-9,30,1587,3,1,1,1,2
3,3,8,25,3,14-15,30,645,3,5,1,1,2
6,3,8,55,5,11-12,30,1587,6,19,1,1,2
3,3,8,23,6,8-9,30,1587,3,1,1,2,2
3,3,8,23,6,8-9,30,1587,3,1,1,2,2
6,3,12,44,2,15-16,30,8268,6,11,1,1,2
6,3,8,31,5,7-8,30,1587,6,1,1,1,2
6,3,8,28,2,9-10,30,1587,6,11,1,1,2
6,3,8,28,2,9-10,30,1587,6,11,1,1,2
6,3,8,20,2,9-10,30,1587,6,1,1,1,2
0,6,5,54,5,8-9,30,1598,0,9,1,1,2
8,6,8,61,7,1-2,30,1587,8,1,1,1,2
3,3,7,23,3,8-9,20,49,3,2,1,1,2
0,3,2,28,4,19-20,30,2198,0,19,1,2,2
0,6,3,35,5,15-16,20,1229,0,9,1,1,2
3,3,4,55,2,19-20,30,748,3,5,1,1,2
3,3,3,38,2,8-9,30,124,3,3,1,2,2
3,3,5,25,7,0-1,30,125,3,3,1,1,2
3,3,8,22,7,0-1,30,1587,3,3,1,1,2
3,3,21,37,4,11-12,30,583,3,5,1,1,2
0,3,12,44,6,8-9,30,996,0,5,1,1,2
0,3,12,44,6,8-9,30,996,0,5,1,1,2
3,3,8,52,2,9-10,30,1587,3,1,1,1,2
3,3,8,34,4,6-7,30,1587,3,3,1,2,2
6,3,8,55,5,7-8,30,1587,6,1,1,2,2
3,3,8,49,7,6-7,30,1587,3,9,1,2,2
3,3,8,34,7,6-7,30,1587,3,9,1,2,2
3,3,8,34,7,6-7,30,1587,3,9,1,2,2
0,5,3,37,4,16-17,30,1242,0,9,1,1,2
3,3,1,42,5,8-9,30,4500,3,11,1,1,2
3,3,8,38,3,7-8,30,1587,3,1,1,1,2
3,3,8,36,2,19-20,30,1587,3,1,1,1,2
3,3,11,52,2,14-15,30,124,3,3,1,2,2
3,6,9,50,2,3-4,30,1995,3,8,1,2,2
3,6,8,34,2,23-24,30,1587,3,1,1,1,2
3,3,1,21,6,21-22,30,2967,3,9,1,1,2
3,3,6,54,4,18-19,30,6700,3,11,1,1,2
3,6,8,43,5,8-9,30,1587,3,1,1,1,2
3,3,10,25,5,17-18,30,599,3,2,1,1,2
6,3,8,37,6,20-21,30,1587,6,2,1,1,2
3,3,2,39,4,8-9,30,1229,3,9,1,1,2
0,3,1,51,2,13-14,30,4500,0,11,1,1,2
3,3,11,87,6,12-13,30,1598,3,9,1,1,2
3,3,4,25,6,12-13,30,1598,3,9,1,1,2
3,6,8,37,3,19-20,30,1587,3,4,1,1,2
3,6,8,37,7,13-14,30,1587,3,9,1,1,2
0,3,8,37,3,8-9,30,1587,0,2,1,1,2
3,4,9,44,7,7-8,30,5880,3,20,1,1,2
3,3,8,23,3,17-18,30,1587,3,5,1,1,2
8,6,8,22,6,11-12,30,1587,8,1,1,1,2
3,4,8,45,4,0-1,30,1587,3,1,1,1,2
3,3,8,52,6,15-16,30,1686,3,19,1,1,2
3,3,11,21,6,19-20,30,125,3,3,1,1,2
6,6,8,34,1,12-13,30,1587,6,1,1,1,2
6,6,8,34,1,12-13,30,1587,6,1,1,1,2
3,3,15,79,4,11-12,30,1686,3,9,1,2,2
3,3,15,79,4,11-12,30,1686,3,9,1,2,2
3,3,15,79,4,11-12,30,1686,3,9,1,2,2
3,3,8,27,2,8-9,30,1587,3,5,1,2,2
1,3,8,30,5,22-23,30,1587,1,9,1,1,2
1,3,8,30,5,22-23,30,1587,1,9,1,1,2
0,3,12,48,5,10-11,30,7300,0,11,1,1,2
3,3,10,86,2,8-9,30,1590,3,9,1,1,2
3,3,10,86,2,8-9,30,1590,3,9,1,1,2
0,6,8,37,7,7-8,30,1587,0,1,1,1,2
6,3,14,54,1,16-17,30,1360,6,9,1,1,2
6,3,1,20,1,16-17,30,124,6,3,1,1,2
3,4,8,39,2,16-17,30,1587,3,3,1,2,2
0,6,8,37,3,23-24,30,1587,0,9,1,1,2
0,3,8,45,3,7-8,30,1587,0,1,1,1,2
0,3,8,50,6,13-14,30,1587,0,11,1,1,2
0,3,8,50,6,13-14,30,1587,0,11,1,1,2
0,3,8,50,6,13-14,30,1587,0,11,1,1,2
6,4,7,34,7,17-18,30,125,6,3,1,2,2
3,3,8,25,2,23-24,30,109,3,3,1,1,2
0,6,8,18,1,17-18,30,1587,0,3,1,1,2
0,6,8,18,1,17-18,30,1587,0,3,1,1,2
0,6,8,38,1,17-18,30,1587,0,9,1,1,2
0,6,8,38,1,17-18,30,1587,0,9,1,1,2
0,6,8,54,2,7-8,30,1587,0,1,1,1,2
3,5,8,32,4,15-16,30,1587,3,1,1,1,2
0,3,14,66,1,23-24,30,1996,0,9,1,1,2
0,3,9,38,1,23-24,30,1900,0,9,1,1,2
0,3,10,38,1,23-24,30,1586,0,9,1,1,2
3,3,8,27,1,19-20,30,1587,3,1,1,1,2
8,3,8,51,2,16-17,30,1587,8,5,1,2,2
0,6,8,48,2,6-7,30,2287,0,19,1,2,2
0,6,6,46,7,11-12,30,124,0,3,1,1,2
0,3,9,41,5,14-15,30,9000,0,11,1,1,2
0,6,8,37,6,10-11,30,1587,0,9,1,1,2
0,3,8,16,4,11-12,30,1587,0,1,1,1,2
0,6,8,37,6,21-22,30,1587,0,1,1,2,2
3,3,22,84,1,8-9,30,1299,3,9,1,2,2
3,3,11,37,3,10-11,30,1390,3,9,1,1,2
0,3,8,76,2,11-12,30,1364,0,9,1,2,2
8,3,2,22,5,17-18,30,471,8,4,1,2,2
3,6,2,20,1,4-5,30,1796,3,9,1,4,2
3,6,2,20,1,4-5,30,1796,3,9,1,4,2
3,6,2,20,1,4-5,30,1796,3,9,1,4,2
0,3,12,25,2,0-1,30,1468,0,9,1,2,2
6,3,8,26,3,14-15,30,1587,6,9,1,2,2
6,3,8,70,7,14-15,30,1587,6,9,2,2,2
6,3,8,70,7,14-15,30,1587,6,9,2,2,2
6,3,4,38,7,14-15,30,1995,6,9,2,2,2
6,3,4,38,7,14-15,30,1995,6,9,2,2,2
0,4,9,26,6,22-23,30,1198,0,9,1,1,2
0,4,9,26,6,22-23,30,1198,0,9,1,1,2
0,4,8,19,6,22-23,30,1587,0,9,1,1,2
6,3,5,21,3,19-20,30,124,6,3,1,1,2
3,3,8,28,7,10-11,30,1587,3,1,1,1,2
0,3,8,37,2,19-20,30,1587,0,9,1,1,2
3,5,8,46,4,15-16,30,1587,3,9,1,1,2
3,3,1,25,5,11-12,30,1000,3,3,1,1,2
3,3,9,22,5,11-12,30,1598,3,9,1,1,2
0,6,13,69,6,17-18,30,1898,0,9,1,1,2
3,4,8,37,1,2-3,30,1587,3,9,1,1,2
2,5,4,24,2,7-8,30,1242,2,9,1,1,2
0,5,8,37,1,14-15,30,1587,0,9,1,2,2
0,3,8,37,5,9-10,30,1587,0,11,1,1,2
0,6,10,32,1,20-21,30,449,0,5,1,1,2
3,5,15,31,3,18-19,30,600,3,5,1,1,2
0,5,14,18,3,16-17,30,124,0,2,1,1,2
0,5,8,22,3,16-17,30,1587,0,2,1,1,2
3,5,8,22,5,16-17,30,1587,3,3,1,2,2
3,5,8,22,5,16-17,30,1587,3,3,1,2,2
3,3,8,23,6,6-7,30,1587,3,5,1,2,2
3,6,8,14,6,18-19,30,1587,3,1,1,1,2
0,6,8,5,4,17-18,30,1587,0,1,1,2,2
1,6,8,53,4,18-19,30,1587,1,1,2,1,2
6,3,8,35,4,18-19,30,1587,6,1,1,1,2
3,3,8,55,4,16-17,30,1587,3,11,1,1,2
3,3,12,52,4,14-15,30,1753,3,19,1,1,2
3,3,10,50,4,14-15,30,2720,3,9,1,1,2
0,3,2,33,1,17-18,30,125,0,3,1,1,2
3,5,11,62,7,15-16,30,1998,3,9,1,1,2
3,5,11,62,7,15-16,30,1998,3,9,1,1,2
3,5,13,42,7,15-16,30,1587,3,9,1,1,2
0,4,8,32,1,16-17,30,1968,0,9,1,2,2
0,4,8,32,1,16-17,30,1968,0,9,1,2,2
0,4,8,32,1,16-17,30,1968,0,9,1,2,2
0,4,1,47,1,16-17,30,1956,0,9,1,2,2
6,6,7,16,6,14-15,30,124,6,3,1,1,2
3,4,8,76,5,14-15,30,1587,3,1,1,1,2
0,3,17,17,7,18-19,30,1085,0,3,1,1,2
3,3,8,26,3,8-9,30,1587,3,20,1,1,2
3,3,33,48,6,15-16,30,123,3,3,2,1,2
0,3,13,85,1,10-11,30,1796,0,9,1,1,2
3,6,12,20,5,12-13,30,1149,3,9,1,1,2
3,3,8,26,4,10-11,30,2143,3,19,1,1,2
3,6,6,24,7,11-12,30,1910,3,9,1,1,2
3,3,8,37,1,19-20,30,1587,3,19,1,1,2
0,6,8,55,7,12-13,30,1587,0,1,1,1,2
0,3,8,37,2,20-21,30,1587,0,9,1,1,2
3,3,7,41,7,12-13,30,1753,3,9,1,1,2
3,3,8,42,1,17-18,30,1587,3,1,1,1,2
3,4,8,34,3,7-8,30,1587,3,9,2,1,2
6,6,8,62,3,18-19,30,1587,6,9,1,1,2
6,6,8,36,3,18-19,30,1587,6,9,1,1,2
3,3,8,36,1,12-13,30,1587,3,1,1,1,2
2,3,8,37,4,8-9,30,1587,2,9,1,1,2
3,3,1,18,7,8-9,30,108,3,5,1,1,2
3,6,12,54,4,18-19,30,1399,3,9,1,1,2
3,5,8,48,4,7-8,30,1587,3,1,1,1,2
3,6,8,32,3,17-18,30,1587,3,1,1,1,2
3,6,9,27,3,15-16,30,1124,3,9,1,2,2
0,3,9,37,7,12-13,40,2198,0,19,2,1,2
3,5,8,37,6,7-8,30,1587,3,9,1,1,2
3,6,8,55,5,12-13,30,1587,3,1,1,1,2
3,5,5,37,6,12-13,40,1997,3,9,1,1,2
2,5,8,51,7,10-11,30,1587,2,1,2,1,2
3,6,7,22,1,16-17,30,1598,3,9,1,1,2
3,3,11,81,5,9-10,30,1794,3,9,1,1,2
0,6,10,48,6,14-15,30,1587,0,9,1,1,2
0,6,5,19,6,14-15,30,1596,0,9,1,1,2
0,4,2,87,4,12-13,30,998,0,9,1,1,2
0,3,8,40,1,5-6,30,1587,0,9,1,1,2
0,6,8,40,4,8-9,30,1587,0,9,1,2,2
3,3,12,30,2,8-9,30,2499,3,9,1,1,2
3,3,12,30,2,8-9,30,2499,3,9,1,1,2
0,3,6,33,3,9-10,30,1968,0,9,1,1,2
3,4,12,25,7,16-17,30,1998,3,9,1,2,2
3,4,8,47,7,16-17,30,1587,3,9,1,2,2
3,3,8,37,3,5-6,30,1587,3,10,1,1,2
3,3,8,37,3,5-6,30,1587,3,10,1,1,2
3,3,8,37,3,5-6,30,1587,3,10,1,1,2
3,3,8,37,3,5-6,30,1587,3,10,1,1,2
3,3,8,37,3,5-6,30,1587,3,10,1,1,2
3,3,8,37,3,5-6,30,1587,3,10,1,1,2
3,3,8,37,3,5-6,30,1587,3,10,1,1,2
3,5,11,80,4,12-13,30,1389,3,9,1,2,2
9,5,16,32,4,10-11,30,125,9,4,1,1,2
1,5,8,31,2,7-8,30,1587,1,1,1,1,2
3,6,3,17,6,18-19,30,49,3,2,1,1,2
0,3,11,52,1,5-6,30,2953,0,9,1,1,2
0,3,8,54,1,5-6,30,1587,0,9,1,1,2
3,6,3,49,5,7-8,30,2198,3,19,1,1,2
0,3,11,54,2,8-9,30,1794,0,9,1,1,2
0,6,8,37,2,11-12,30,1587,0,20,1,1,2
0,5,8,46,2,4-5,30,1587,0,1,1,1,2
0,6,8,12,4,17-18,30,1587,0,1,1,1,2
9,5,9,37,7,1-2,30,1598,9,9,1,1,2
9,5,9,37,7,1-2,30,1598,9,9,1,1,2
9,5,9,37,7,1-2,30,1598,9,9,1,1,2
9,5,8,31,7,1-2,30,1587,9,9,1,1,2
9,5,8,31,7,1-2,30,1587,9,9,1,1,2
5,3,8,37,1,20-21,30,1587,5,9,1,2,2
0,3,8,29,3,13-14,30,998,0,5,1,1,2
3,3,17,37,6,14-15,30,1896,3,9,1,1,2
0,3,7,32,3,14-15,30,999,0,5,1,1,2
0,3,4,37,5,18-19,30,2987,0,9,1,1,2
9,6,5,41,2,12-13,30,1998,9,9,1,2,2
0,5,14,50,7,15-16,30,1895,0,9,1,1,2
0,5,11,37,7,15-16,30,7300,0,11,1,1,2
0,5,11,37,7,15-16,30,7300,0,11,1,1,2
0,5,13,40,7,9-10,30,1590,0,9,1,1,2
3,5,5,38,6,20-21,30,599,3,5,1,1,2
3,5,5,38,6,20-21,30,599,3,5,1,1,2
3,6,19,49,2,16-17,30,1896,3,9,1,2,2
3,6,3,85,2,16-17,30,1390,3,9,1,2,2
0,6,8,30,6,6-7,30,1587,0,9,1,1,2
9,5,7,46,2,18-19,30,2969,9,9,1,1,2
8,5,2,19,6,17-18,30,124,8,3,1,1,2
3,6,3,43,4,8-9,30,1591,3,9,1,1,2
3,6,3,43,4,8-9,30,1591,3,9,1,1,2
3,5,8,27,2,1-2,30,1587,3,9,1,2,2
3,5,10,21,2,1-2,30,125,3,3,1,2,2
2,6,17,30,4,8-9,30,1299,2,9,1,1,2
3,3,17,22,3,7-8,30,599,3,5,1,1,2
6,5,9,36,6,12-13,30,750,6,3,1,1,2
3,3,7,34,1,14-15,30,1248,3,9,1,2,2
3,5,15,37,2,16-17,30,2494,3,9,1,1,2
1,3,3,60,1,19-20,30,2231,1,9,1,2,2
3,3,8,61,5,16-17,30,2143,3,9,1,2,2
3,3,9,23,6,18-19,30,125,3,2,1,2,2
6,5,8,36,7,10-11,30,1587,6,11,1,2,2
6,3,8,26,5,7-8,30,1587,6,1,1,4,2
3,3,7,37,2,20-21,30,998,3,9,1,2,2
3,3,2,31,1,18-19,30,471,3,4,1,1,2
3,3,8,31,4,7-8,30,1587,3,21,1,1,2
3,3,8,30,4,18-19,30,1587,3,9,1,1,2
3,3,8,37,2,17-18,30,1587,3,3,1,1,2
3,3,2,37,3,15-16,30,4461,3,11,1,1,2
6,3,12,27,5,15-16,30,7300,6,11,1,1,2
0,3,1,27,3,0-1,30,125,0,2,1,1,2
3,3,8,46,1,12-13,30,1587,3,11,1,1,2
0,3,5,21,5,11-12,40,125,0,3,1,1,2
9,3,8,29,6,15-16,30,1968,9,9,1,1,2
3,3,9,24,1,23-24,30,599,3,2,1,1,2
8,3,12,27,5,6-7,30,125,8,3,1,1,2
5,3,2,24,3,19-20,50,125,5,3,1,1,2
3,3,8,44,4,17-18,30,1587,3,3,1,1,2
3,3,8,44,4,17-18,30,1587,3,3,1,1,2
3,3,11,37,6,8-9,30,1299,3,9,1,1,2
3,3,5,59,7,17-18,30,4500,3,11,1,1,2
3,3,2,30,6,7-8,30,108,3,3,1,1,2
3,3,8,39,5,22-23,30,1587,3,1,1,2,2
5,3,8,24,4,7-8,30,1587,5,1,1,1,2
3,3,3,41,7,23-24,30,999,3,2,1,2,2
6,6,1,37,5,17-18,30,1997,6,9,1,1,2
3,3,11,34,5,20-21,30,599,3,4,1,1,2
3,3,5,37,2,8-9,30,9360,3,11,1,2,2
0,5,8,37,6,23-24,30,1587,0,3,1,1,2
8,3,8,42,3,7-8,30,1587,8,1,1,1,2
3,3,8,36,3,6-7,40,998,3,4,1,1,2
0,3,10,27,4,22-23,30,1686,0,9,1,2,2
3,3,8,36,7,20-21,30,1587,3,1,1,1,2
0,3,6,34,6,23-24,40,599,0,5,1,1,2
0,3,6,34,6,23-24,40,599,0,5,1,1,2
3,3,5,17,6,20-21,30,124,3,3,1,1,2
0,5,8,50,2,7-8,30,2198,0,19,1,1,2
0,3,2,46,1,17-18,40,1386,0,9,1,1,2
0,3,7,59,2,13-14,30,2987,0,9,1,1,2
0,5,11,26,3,3-4,30,1390,0,9,1,2,2
3,3,8,62,7,15-16,30,1587,3,9,1,1,2
3,6,8,20,2,19-20,20,1587,3,1,1,2,2
0,6,1,26,7,7-8,30,2143,0,19,1,1,2
9,5,5,22,4,12-13,30,125,9,4,1,1,2
6,3,3,40,5,19-20,30,670,6,5,1,1,2
6,3,3,40,5,19-20,30,670,6,5,1,1,2
3,3,8,43,5,12-13,30,108,3,3,1,1,2
3,3,11,26,1,22-23,30,1896,3,9,1,1,2
0,3,2,26,7,16-17,30,1598,0,9,1,1,2
3,3,8,43,5,10-11,30,2198,3,19,1,2,2
3,6,17,52,1,14-15,30,599,3,5,1,1,2
3,3,10,42,4,9-10,30,124,3,4,1,1,2
0,3,3,32,4,17-18,30,1229,0,9,1,1,2
0,3,8,32,3,6-7,40,1587,0,9,1,1,2
0,6,17,47,7,14-15,30,1850,0,9,1,1,2
1,3,7,47,2,14-15,30,9000,1,11,1,1,2
6,5,8,36,4,18-19,30,1587,6,1,1,1,2
6,3,8,37,2,9-10,30,1587,6,9,1,1,2
8,3,8,17,5,10-11,30,124,8,3,1,1,2
3,3,8,31,7,12-13,30,1595,3,9,1,2,2
3,3,8,26,7,12-13,30,1587,3,9,1,2,2
0,5,6,41,7,18-19,30,1399,0,9,1,2,2
3,5,8,37,5,11-12,30,1587,3,9,1,1,2
3,6,8,70,3,7-8,30,1587,3,11,1,2,2
0,3,8,37,6,17-18,30,1587,0,19,1,2,2
0,5,8,37,2,19-20,30,1587,0,19,1,1,2
3,3,5,58,2,6-7,30,998,3,9,1,2,2
3,3,8,37,2,6-7,30,1587,3,1,1,2,2
3,3,11,19,6,0-1,30,124,3,3,1,2,2
3,4,8,18,7,15-16,30,125,3,3,1,1,2
3,3,6,30,4,5-6,30,124,3,3,1,1,2
6,4,12,24,4,0-1,30,125,6,3,1,2,2
6,4,12,24,4,0-1,30,125,6,3,1,2,2
3,6,16,52,5,14-15,30,1794,3,9,1,1,2
3,3,1,38,3,10-11,30,2143,3,19,1,1,2
3,6,8,37,6,23-24,30,1587,3,9,1,2,2
6,3,8,37,7,17-18,30,1587,6,9,1,1,2
3,3,8,29,5,2-3,30,1798,3,9,1,1,2
3,3,14,36,5,7-8,30,2148,3,9,1,1,2
3,4,9,28,2,3-4,30,1598,3,9,1,4,2
3,3,7,52,1,10-11,30,1998,3,9,1,1,2
3,3,8,51,1,10-11,30,1587,3,1,1,1,2
6,3,10,44,3,17-18,30,1498,6,9,1,1,2
3,3,7,50,2,9-10,30,999,3,9,1,1,2
6,3,8,47,1,12-13,30,1587,6,1,1,1,2
3,4,9,51,5,8-9,30,1598,3,9,1,1,2
1,3,23,34,5,19-20,30,124,1,5,1,1,2
3,4,2,85,6,23-24,30,1598,3,9,1,1,2
6,3,8,34,4,18-19,30,1587,6,1,1,1,2
0,6,12,26,6,22-23,30,1598,0,9,1,1,2
3,6,8,37,5,19-20,30,1587,3,9,1,1,2
6,3,8,13,1,15-16,30,1587,6,1,1,1,2
3,3,8,49,6,7-8,30,1587,3,1,1,1,2
3,3,8,49,6,7-8,30,1587,3,1,1,1,2
0,6,8,35,7,10-11,30,1587,0,1,1,1,2
0,6,8,35,7,10-11,30,1587,0,1,1,1,2
3,3,7,28,1,13-14,30,1598,3,9,1,1,2
8,3,7,53,5,7-8,30,399,8,3,1,1,2
1,3,22,22,3,3-4,30,499,1,5,1,1,2
1,3,11,24,4,19-20,30,124,1,2,1,1,2
0,3,12,60,6,7-8,30,498,0,4,1,1,2
0,3,6,48,6,18-19,30,656,0,3,1,1,2
3,5,8,90,1,16-17,30,1587,3,1,1,1,2
0,3,8,23,2,16-17,30,1587,0,3,1,1,2
3,5,11,23,4,13-14,30,124,3,3,1,1,2
3,3,16,37,7,7-8,30,1299,3,9,1,1,2
3,3,1,24,4,21-22,30,125,3,3,1,1,2
0,3,8,43,3,20-21,30,1587,0,2,1,1,2
3,6,8,37,7,17-18,30,1587,3,9,1,1,2
0,6,8,26,1,19-20,30,1587,0,1,1,1,2
3,3,13,59,1,19-20,30,1149,3,9,1,1,2
3,3,13,28,3,18-19,30,1970,3,9,1,1,2
3,3,8,37,6,17-18,30,1587,3,9,1,1,2
0,3,28,28,5,7-8,50,98,0,3,1,1,2
8,3,8,31,3,18-19,30,1984,8,9,1,2,2
6,3,13,55,3,7-8,30,1749,6,9,1,1,2
0,6,1,18,3,16-17,30,125,0,3,1,1,2
6,3,8,35,6,16-17,30,1587,6,3,1,1,2
2,3,3,21,2,0-1,30,1229,2,9,1,1,2
7,3,8,26,6,8-9,30,1587,7,20,1,1,2
0,5,8,37,6,17-18,30,1587,0,11,1,1,2
3,6,8,37,3,18-19,30,1587,3,1,1,1,2
0,3,11,20,2,20-21,30,1299,0,9,1,2,2
3,6,8,28,3,17-18,30,125,3,3,1,1,2
3,5,1,42,3,16-17,30,999,3,5,1,1,2
0,3,8,25,2,6-7,50,1587,0,5,1,1,2
3,5,1,30,5,15-16,30,1968,3,9,1,1,2
0,3,8,46,3,9-10,50,1587,0,5,1,1,2
0,5,8,42,3,22-23,30,1587,0,9,1,1,2
0,5,8,42,3,22-23,30,1587,0,9,1,1,2
0,3,1,20,2,7-8,30,124,0,3,1,1,2
0,5,6,46,4,22-23,30,1390,0,9,1,1,2
3,3,10,22,5,14-15,30,124,3,2,1,1,2
3,3,16,28,2,23-24,30,1587,3,9,1,1,2
3,6,6,26,3,0-1,30,1422,3,9,1,1,2
0,3,8,64,3,12-13,30,1587,0,9,1,1,2
1,3,3,28,3,16-17,30,675,1,3,1,1,2
3,4,8,33,4,6-7,30,1587,3,1,1,1,2
1,3,7,23,1,22-23,30,125,1,3,1,1,2
0,3,4,25,1,11-12,50,1229,0,9,1,1,2
0,3,4,36,1,11-12,50,1199,0,9,1,1,2
0,3,4,36,1,11-12,50,1199,0,9,1,1,2
3,5,6,17,1,17-18,30,110,3,2,1,1,2
3,5,3,54,5,18-19,30,1598,3,9,1,1,2
3,5,3,54,5,18-19,30,1598,3,9,1,1,2
0,6,22,58,3,16-17,30,599,0,5,1,1,2
0,5,8,39,7,12-13,30,1587,0,9,1,1,2
0,3,13,41,3,14-15,30,1398,0,9,1,1,2
3,5,8,31,7,10-11,30,1587,3,4,1,1,2
1,3,8,32,6,6-7,30,1587,1,1,1,1,2
0,5,8,38,4,16-17,30,1229,0,9,2,1,2
0,3,4,40,6,8-9,30,1598,0,9,1,1,2
0,3,4,40,6,8-9,30,1598,0,9,1,1,2
0,3,8,68,6,8-9,30,1598,0,9,1,1,2
0,3,1,35,3,6-7,50,745,0,5,1,1,2
3,5,9,48,5,16-17,30,998,3,9,1,2,2
3,3,5,25,2,7-8,30,125,3,3,1,2,2
3,6,2,30,6,21-22,30,109,3,3,1,1,2
3,5,9,37,6,16-17,30,1968,3,9,1,2,2
0,6,2,64,5,13-14,30,1956,0,9,2,1,2
6,6,8,26,5,18-19,30,1587,6,19,1,2,2
0,3,2,20,5,4-5,40,1598,0,9,1,2,2
0,3,2,20,5,4-5,40,1598,0,9,1,2,2
0,3,8,60,1,13-14,30,1587,0,1,1,1,2
3,3,8,42,5,19-20,30,2993,3,9,1,1,2
3,3,8,42,5,19-20,30,2993,3,9,1,1,2
3,3,1,56,5,19-20,30,2987,3,9,1,1,2
3,6,6,20,5,20-21,30,124,3,3,1,2,2
0,3,4,37,5,9-10,40,1198,0,3,1,1,2
6,4,10,31,3,9-10,30,1497,6,9,1,1,2
3,3,12,24,7,12-13,30,125,3,3,1,2,2
3,3,12,24,7,12-13,30,125,3,3,1,2,2
6,6,11,54,6,18-19,30,1997,6,9,1,2,2
3,3,4,51,1,10-11,30,999,3,5,1,1,2
5,3,4,48,4,8-9,70,125,5,3,2,1,2
0,4,7,47,2,16-17,30,1248,0,9,1,1,2
0,4,7,47,2,16-17,30,1248,0,9,1,1,2
0,3,4,22,2,12-13,40,124,0,3,1,1,2
3,3,19,44,1,19-20,30,1796,3,9,1,1,2
3,3,1,68,1,19-20,30,1329,3,9,1,1,2
5,3,1,45,4,7-8,30,330,5,4,1,1,2
0,3,7,26,5,15-16,40,599,0,5,1,1,2
5,3,5,38,5,17-18,30,2298,5,19,1,1,2
0,5,3,47,5,16-17,30,998,0,9,1,1,2
1,3,5,47,6,7-8,30,124,1,3,1,1,2
3,6,8,38,3,8-9,30,1587,3,9,1,1,2
2,6,5,28,7,13-14,30,1797,2,9,1,2,2
0,3,9,34,2,22-23,30,2198,0,9,1,1,2
0,3,9,34,2,22-23,30,2198,0,9,1,1,2
0,5,4,46,7,13-14,30,4500,0,11,1,1,2
6,3,1,22,2,16-17,30,124,6,3,1,1,2
6,3,8,23,7,0-1,40,1587,6,3,1,1,2
0,6,14,46,6,19-20,30,1998,0,9,1,1,2
6,3,10,20,7,14-15,30,124,6,3,1,1,2
3,6,8,43,5,15-16,30,1968,3,9,1,1,2
6,3,8,87,5,16-17,30,2149,6,9,1,1,2
6,3,8,87,5,16-17,30,2149,6,9,1,1,2
3,4,8,48,4,15-16,30,1587,3,1,1,1,2
0,6,4,37,4,7-8,30,1598,0,9,1,1,2
3,3,4,35,4,17-18,30,2967,3,9,1,1,2
3,3,8,37,4,17-18,30,1587,3,9,1,1,2
9,3,3,59,4,18-19,30,4500,9,11,1,1,2
0,3,1,24,2,11-12,30,1461,0,9,1,2,2
3,3,8,52,5,8-9,30,1587,3,1,1,1,2
1,3,21,27,7,0-1,40,1493,1,9,1,1,2
1,3,21,27,7,0-1,40,1493,1,9,1,1,2
3,3,8,41,3,7-8,30,1587,3,1,1,1,2
0,3,8,37,5,21-22,30,1587,0,9,1,2,2
0,1,8,69,5,23-24,70,1587,0,9,1,1,2
0,1,8,37,5,23-24,70,1968,0,9,1,1,2
0,1,8,37,5,23-24,70,1968,0,9,1,1,2
3,5,6,18,2,14-15,30,124,3,4,1,2,2
6,3,2,29,4,21-22,50,675,6,5,1,1,2
3,3,8,35,1,13-14,30,1587,3,1,1,1,2
3,3,9,22,1,2-3,30,1598,3,9,1,1,2
3,3,9,22,1,2-3,30,1598,3,9,1,1,2
0,5,10,27,2,11-12,30,2402,0,19,1,2,2
0,5,10,27,2,11-12,30,2402,0,19,1,2,2
9,3,8,43,5,12-13,30,1598,9,9,1,1,2
1,4,8,37,3,17-18,30,1587,1,20,1,1,2
3,6,8,36,6,15-16,30,2494,3,9,1,1,2
3,3,13,18,6,15-16,40,124,3,3,1,1,2
0,5,1,52,7,19-20,30,1968,0,9,1,1,2
3,3,6,21,5,20-21,30,124,3,3,1,1,2
0,3,7,30,6,11-12,30,1364,0,9,1,1,2
0,3,8,37,4,17-18,30,1587,0,11,1,1,2
3,6,8,15,1,18-19,30,1587,3,1,1,1,2
3,4,7,21,3,9-10,30,125,3,3,1,2,2
6,3,11,46,1,17-18,30,2148,6,9,1,2,2
6,3,11,46,1,17-18,30,2148,6,9,1,2,2
6,3,11,46,1,17-18,30,2148,6,9,1,2,2
3,4,3,40,2,21-22,30,1339,3,9,1,1,2
3,4,5,37,4,11-12,30,125,3,3,1,1,2
0,1,16,42,2,10-11,70,1796,0,9,1,1,2
0,1,16,42,2,10-11,70,1796,0,9,1,1,2
0,1,16,42,2,10-11,70,1796,0,9,1,1,2
0,1,16,42,2,10-11,70,1796,0,9,1,1,2
0,1,16,42,2,10-11,70,1796,0,9,1,1,2
0,1,2,42,2,10-11,70,1995,0,9,1,1,2
6,6,8,34,2,21-22,30,1197,6,9,1,1,2
3,5,16,37,6,17-18,30,999,3,9,1,1,2
6,5,8,17,5,0-1,30,1587,6,3,1,1,2
1,3,11,25,7,8-9,30,599,1,4,1,1,2
9,3,8,37,6,23-24,30,1587,9,9,1,1,2
